Filename,Expanded,Generated,CPU Time,Wall Time,Solution Length
1.in,298152,610624,171,429,38.0
10.in,417,891,0,0,24.0
100.in,1576211,3277804,468,489,38.0
101.in,422771,899030,125,134,34.0
102.in,206677,427278,62,65,36.0
103.in,332,713,0,0,20.0
104.in,769,1618,0,0,26.0
105.in,18760,38430,15,6,34.0
106.in,369,748,0,0,26.0
107.in,12720,26621,0,4,34.0
108.in,2423,5000,0,1,24.0
109.in,7575,16210,0,3,36.0
11.in,306913,629853,109,99,40.0
110.in,4197,8572,0,1,30.0
111.in,132,289,0,0,22.0
112.in,222,463,15,1,18.0
113.in,1804,3736,0,1,30.0
114.in,7329,15305,0,4,30.0
115.in,34,75,0,0,22.0
116.in,8439,17750,0,3,32.0
117.in,492,999,0,0,28.0
118.in,2041,4364,0,1,26.0
119.in,6789,14234,0,3,34.0
12.in,21,44,0,0,20.0
120.in,129,288,0,0,18.0
121.in,548,1153,0,1,32.0
122.in,14692,30481,15,7,32.0
123.in,1061966,2162158,312,547,40.0
124.in,3318,6710,0,1,30.0
125.in,218,461,0,0,22.0
126.in,64332,132827,31,27,34.0
127.in,236,524,0,0,22.0
128.in,124508,258139,46,70,38.0
129.in,38,79,0,0,20.0
13.in,269,547,15,1,26.0
130.in,38708,79642,0,21,32.0
131.in,138,282,0,0,24.0
132.in,146,308,0,0,18.0
133.in,1769,3669,0,2,24.0
134.in,2454,5177,0,1,24.0
135.in,658,1326,0,1,30.0
136.in,28415,59827,15,15,30.0
137.in,1118896,2219864,296,577,44.0
138.in,174,357,0,1,20.0
139.in,19268,40163,15,6,32.0
14.in,87575,184846,46,40,36.0
140.in,9130,18554,0,4,32.0
141.in,2285,4600,0,1,26.0
142.in,157,333,0,0,32.0
143.in,117704,245104,62,77,34.0
144.in,265,549,0,0,22.0
145.in,68,143,0,0,26.0
146.in,1135,2299,0,0,30.0
147.in,34078,69567,0,17,30.0
148.in,10878,21869,0,7,32.0
149.in,2031032,4249180,656,972,38.0
15.in,4666894,9451491,1390,2843,42.0
150.in,673,1416,0,0,24.0
16.in,3726,7733,0,2,28.0
17.in,13560,28377,0,4,28.0
18.in,316,670,0,0,22.0
19.in,827,1761,0,0,24.0
2.in,4875,10239,0,2,26.0
20.in,57065,117463,15,24,34.0
21.in,777,1585,0,0,24.0
22.in,526410,1104535,250,251,40.0
23.in,16656,34205,15,7,26.0
24.in,97892,203163,0,39,30.0
25.in,4569,9312,15,4,34.0
26.in,1638,3429,0,5,26.0
27.in,36504,76230,15,20,38.0
28.in,988117,2056194,328,960,42.0
29.in,14064,29751,0,6,26.0
3.in,2087,4381,0,2,26.0
30.in,9975,20916,0,5,30.0
31.in,15912,32638,0,16,32.0
32.in,1341,2810,0,1,24.0
33.in,1006,2127,0,0,26.0
34.in,28,64,0,0,16.0
35.in,32417,67405,15,15,30.0
36.in,1363,2903,0,1,26.0
37.in,113382,232236,31,57,34.0
38.in,3079,6273,0,1,32.0
39.in,30,63,0,0,18.0
4.in,5137,10734,0,2,28.0
40.in,140,290,0,0,26.0
41.in,1253,2606,0,1,28.0
42.in,732,1518,0,0,26.0
43.in,72767,148063,15,31,40.0
44.in,7616,16029,0,3,34.0
45.in,26553,53773,0,15,36.0
46.in,540,1073,0,0,22.0
47.in,26142,52633,0,11,40.0
48.in,2540,5016,0,0,32.0
49.in,18,39,0,0,18.0
5.in,10037,20682,15,4,34.0
50.in,13502,27955,0,6,38.0
51.in,301,608,0,0,28.0
52.in,559,1174,0,0,22.0
53.in,115,231,0,0,18.0
54.in,393,844,0,0,20.0
55.in,533,1122,0,0,18.0
56.in,125071,259946,46,72,36.0
57.in,178786,358667,62,69,40.0
58.in,321,641,0,0,28.0
59.in,17,39,0,0,14.0
6.in,2826,5986,0,0,30.0
60.in,11546,24172,0,5,28.0
61.in,2366,4998,0,1,26.0
62.in,6798,14299,0,5,28.0
63.in,696,1482,0,1,28.0
64.in,204543,438541,78,89,34.0
65.in,257892,533255,109,104,36.0
66.in,755,1585,0,0,26.0
67.in,994878,2028459,312,413,38.0
68.in,5753,11544,0,6,36.0
69.in,80058,166813,46,204,32.0
7.in,171,353,0,0,18.0
70.in,33271,69416,15,14,32.0
71.in,62,130,0,0,18.0
72.in,17889,36749,0,8,30.0
73.in,827,1735,0,1,28.0
74.in,40080,81884,0,16,32.0
75.in,3509,7446,0,2,28.0
76.in,72675,150131,0,27,32.0
77.in,826635,1656170,250,293,42.0
78.in,680,1357,0,0,30.0
79.in,5977,12318,0,2,26.0
8.in,25130,52330,15,10,30.0
80.in,43228,86131,0,15,40.0
81.in,161,339,0,0,32.0
82.in,42485,86652,15,16,34.0
83.in,4824,10061,0,2,26.0
84.in,397,839,0,0,28.0
85.in,5604,11511,0,2,30.0
86.in,28605,57657,0,9,32.0
87.in,193,398,0,0,24.0
88.in,1321,2706,0,1,30.0
89.in,520,1066,0,0,24.0
9.in,4178,8495,0,3,28.0
90.in,3773,7929,15,3,32.0
91.in,366,774,0,0,24.0
92.in,80764,162014,31,27,34.0
93.in,992,2091,0,0,26.0
94.in,44424,92397,0,17,32.0
95.in,348,724,0,1,18.0
96.in,223,457,0,0,22.0
97.in,90353,185681,31,59,36.0
98.in,34086,71383,15,12,34.0
99.in,25984,54162,0,10,32.0
