Filename,Expanded,Generated,CPU Time,Wall Time,Solution Length
1.in,2032011,99568540,54531,60743,49.0
10.in,176634,8655067,4718,5428,48.0
100.in,61936,3034865,1609,1831,47.0
101.in,3160,154841,109,105,48.0
102.in,1191540,58385461,33687,40979,50.0
103.in,5305,259946,140,179,48.0
104.in,110278,5403623,3109,4314,49.0
105.in,368487,18055864,10125,12435,48.0
106.in,52321,2563730,1562,1933,49.0
107.in,50281,2463770,1453,1908,50.0
108.in,157053,7695598,4515,6106,50.0
109.in,695675,34088076,19687,26446,49.0
11.in,39959,1957992,1046,1206,50.0
110.in,44236,2167565,1218,1831,49.0
111.in,13135,643616,281,519,49.0
112.in,758876,37184925,22109,29490,51.0
113.in,159638,7822263,4812,6038,49.0
114.in,220265,10792986,6375,8506,50.0
115.in,1251557,61326294,35921,47740,49.0
116.in,344282,16869819,9687,15550,49.0
117.in,92653,4539998,2734,3493,49.0
118.in,196629,9634822,5671,7392,50.0
119.in,845891,41448660,22812,26672,50.0
12.in,1233309,60432142,34984,50100,49.0
120.in,72755,3564996,2078,3161,48.0
121.in,91212,4469389,2687,3916,50.0
122.in,1499178,73459723,44281,77962,48.0
123.in,1510987,74038364,45015,87791,46.0
124.in,135429,6636022,4156,7328,49.0
125.in,571135,27985616,17796,34183,49.0
126.in,3688,180713,93,166,50.0
127.in,252657,12380194,7390,12716,48.0
128.in,1674777,82064074,48890,85362,48.0
129.in,3902059,191200892,113578,203650,50.0
13.in,26049,1276402,734,1338,49.0
130.in,49590,2429911,1406,2876,47.0
131.in,104229,5107222,3156,5912,49.0
132.in,1078938,52867963,31375,57088,49.0
133.in,22497,1102354,671,974,47.0
134.in,98484,4825717,2750,3757,50.0
135.in,2698,132203,62,125,48.0
136.in,1105194,54154507,32546,66622,50.0
137.in,124005,6076246,3609,5999,49.0
138.in,980823,48060328,28687,44405,48.0
139.in,100975,4947776,2890,5188,49.0
14.in,96274,4717427,2687,5492,47.0
140.in,128784,6310417,3625,6906,48.0
141.in,5000001,245000050,146859,262859,N/A
142.in,892648,43739753,26437,43158,49.0
143.in,127490,6247011,3593,7752,49.0
144.in,46503,2278648,1343,2441,48.0
145.in,52378,2566523,1546,2368,49.0
146.in,627873,30765778,18484,29207,48.0
147.in,145193,7114458,4218,6937,47.0
148.in,76445,3745806,2156,3287,50.0
149.in,1618630,79312871,45953,90450,45.0
15.in,204726,10031575,6125,11647,49.0
150.in,95223,4665928,2718,5288,49.0
16.in,252171,12356380,7546,13163,47.0
17.in,109379,5359572,3250,4850,49.0
18.in,585066,28668235,16718,26967,49.0
19.in,8260,404741,234,474,49.0
2.in,160854,7881847,4484,7685,49.0
20.in,25314,1240387,781,1221,46.0
21.in,138372,6780229,3828,7159,50.0
22.in,64300,3150701,1937,3365,49.0
23.in,68842,3373259,2156,3148,50.0
24.in,125832,6165769,3687,5343,49.0
25.in,23876,1169925,671,944,48.0
26.in,57403,2812748,1656,2838,47.0
27.in,101610,4978891,3093,6002,49.0
28.in,12730,623771,453,1153,48.0
29.in,18248,894153,546,839,48.0
3.in,25183,1233968,656,1328,47.0
30.in,152966,7495335,4859,8244,50.0
31.in,210739,10326212,6578,10182,48.0
32.in,12418,608483,406,607,46.0
33.in,1313603,64366548,38375,62422,48.0
34.in,322226,15789075,9203,17737,48.0
35.in,151423,7419728,4218,9788,47.0
36.in,165216,8095585,4593,7889,48.0
37.in,8130,398371,218,371,47.0
38.in,43239,2118712,1187,1802,47.0
39.in,24585,1204666,734,1285,47.0
4.in,255233,12506418,7390,10263,50.0
40.in,57959,2839992,1578,2437,50.0
41.in,2749919,134746032,80234,112267,49.0
42.in,396010,19404491,11437,14524,50.0
43.in,531749,26055702,15359,21482,48.0
44.in,31445,1540806,937,1200,47.0
45.in,333336,16333465,9859,12764,50.0
46.in,365122,17890979,10203,15456,49.0
47.in,31396,1538405,921,1217,48.0
48.in,100198,4909703,2906,3725,49.0
49.in,6111,299440,156,262,48.0
5.in,57080,2796921,1640,2167,50.0
50.in,780347,38237004,21953,29840,51.0
51.in,365354,17902347,10859,15115,50.0
52.in,6820,334181,187,265,47.0
53.in,245839,12046112,7015,12080,49.0
54.in,59924,2936277,1781,3445,49.0
55.in,198015,9702736,5781,7995,50.0
56.in,113053,5539598,3390,4759,50.0
57.in,180429,8841022,5093,6523,48.0
58.in,95492,4679109,2546,3585,49.0
59.in,3306,161995,93,113,47.0
6.in,1265608,62014793,36203,49240,48.0
60.in,266314,13049387,7625,10499,48.0
61.in,2926,143375,78,117,50.0
62.in,176913,8668738,5187,7348,49.0
63.in,37433,1834218,1156,1508,50.0
64.in,61060,2991941,1734,2453,49.0
65.in,211586,10367715,5937,8216,51.0
66.in,1176862,57666239,34203,46142,50.0
67.in,404664,19828537,12093,16099,50.0
68.in,111770,5476731,3343,5627,47.0
69.in,168670,8264831,4671,9133,49.0
7.in,158194,7751507,4406,6261,45.0
70.in,377007,18473344,11250,15224,50.0
71.in,941409,46129042,26968,35890,49.0
72.in,27926,1368375,875,1064,47.0
73.in,139012,6811589,4015,5293,46.0
74.in,26973,1321678,812,1078,48.0
75.in,5000001,245000050,142750,182231,N/A
76.in,91235,4470516,2359,3103,50.0
77.in,144205,7066046,4015,4848,50.0
78.in,808971,39639580,22640,27586,48.0
79.in,682249,33430202,19468,23241,48.0
8.in,203549,9973902,5375,6647,47.0
80.in,86313,4229338,2390,2695,49.0
81.in,1668162,81739939,45296,52541,47.0
82.in,488622,23942479,13296,15770,45.0
83.in,1037642,50844459,27968,32404,50.0
84.in,95103,4660048,2359,2848,47.0
85.in,98736,4838065,2609,3066,48.0
86.in,31688,1552713,843,963,50.0
87.in,84144,4123057,2187,2287,49.0
88.in,95375,4673376,2406,2524,47.0
89.in,232573,11396078,6171,6647,51.0
9.in,86623,4244528,2328,2446,49.0
90.in,187393,9182258,5203,7119,47.0
91.in,1441643,70640508,41703,50158,48.0
92.in,64006,3136295,1906,2419,49.0
93.in,51316,2514485,1437,2003,49.0
94.in,83333,4083318,2484,3184,50.0
95.in,75871,3717680,2140,2605,49.0
96.in,10895,533856,281,411,48.0
97.in,213777,10475074,5984,7108,48.0
98.in,883123,43273028,25609,31918,48.0
99.in,261320,12804681,7468,8603,50.0
